品牌,型号,CADR 灰尘(m3/h),CADR 花粉,CADR 烟雾,高度(mm),宽度(mm),深度(mm),重量(kg),颜色,最小噪音(dB),最大噪音(dB),最小功率(W),最大功率(W),最大风量,材料,原产地,滤网寿命,滤网材料,滤网更新提醒,支持睡眠模式,支持遥控,支持定时,空气质量显示,风档,图片,数据来源
3M,E99,,,,,,,7,白色,,,,200,200,,台湾,6.0,HEPA滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010722/000000000107222502/fullimage/000000000107222502_1.jpg,http://product.suning.com/107222502.html
3M,FAP00,100,,,,,,2.0,白色,,,,,,,,,,,,,,,,http://img10.360buyimg.com/n1/jfs/t166/6/541672057/35757/ef74dc07/538fd0b0N38f78a3a.jpg,http://item.jd.com/1146715.html
3M,FAP04,153,,,,,,10.0,白色,,,,,,,中国台湾,,,支持,true,true,,,,http://img11.360buyimg.com/n1/g16/M00/0B/1B/rBEbRlOClAUIAAAAAACebZ_ZiPcAACTowFuUKkAAJ6F448.jpg,http://item.jd.com/1125196.html
3M,FAP04,,,,400,110,600,4,白色,,,,48,153,,中国台湾,6.0,HEPA滤网,有,支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000012089/000000000120890397/fullimage/000000000120890397_1.jpg,http://product.suning.com/120890397.html
3M,KJEA200,206,,,,,,4.0,白色,,38.0,,46.0,,,中国台湾,,,支持,,,,,,http://img14.360buyimg.com/n1/g16/M00/0C/01/rBEbRlOFOtgIAAAAAAEIjbt135wAACV7QPVmYYAAQil593.jpg,http://item.jd.com/1125199.html
3M,KJEA400,468,,,,,,11.0,白色,,,,48.0,,,中国,,,支持,true,,,true,,http://img13.360buyimg.com/n1/g16/M00/0B/1B/rBEbRlOClA0IAAAAAAB5aSMjjsYAACTowGNLxAAAHmB743.jpg,http://item.jd.com/1125198.html
3M,KJEA400,468,,,,,,11.0,白色,,,,48.0,,,中国,,,支持,true,,,true,,http://img13.360buyimg.com/n1/jfs/t190/242/1411037186/88118/b3974261/53ad312eN6cadc2ea.jpg,http://item.jd.com/1163573.html
3M,KJEA400,,,,,,,0.5,,,,,,,,中国大陆,,,,,,,,,http://img10.360buyimg.com/n1/g16/M00/0C/07/rBEbRVOIOg4IAAAAAAHxHnDRwwUAACYigAuekYAAfE2473.jpg,http://item.jd.com/1145080.html
3M,KJEA400,,,,460,230,640,11,白色,,,,48,,,台湾,12.0,HEPA滤网,有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010690/000000000106909959/fullimage/000000000106909959_1.jpg,http://product.suning.com/106909959.html
3M,KJEA400型,,,,460,230,640,11,黑色,,,,48,,,台湾,6.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010724/000000000107242646/fullimage/000000000107242646_1.jpg,http://product.suning.com/107242646.html
3M,KJWEA200,,,,420,170,365,2,白色,,,,48,206,,中国江苏,6.0,HEPA滤网,有,支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000012088/000000000120887992/fullimage/000000000120887992_1.jpg,http://product.suning.com/120887992.html
3M,MFAC00-CN,100,,,,,,1.5,白色,,,,,,,中国江苏,,,不支持,,,,,,http://img12.360buyimg.com/n1/g16/M00/0B/1B/rBEbRVOClAkIAAAAAAD47AD7tMcAACTowGEcLwAAPkE147.jpg,http://item.jd.com/1125197.html
3M,MFAC00-CN,,,,166,213,155,1.7,白色,,35,,8,28,,,3.0,,,,,,,,http://2e.zol-img.com.cn/product/133_160x120/276/ceXwREMHV9wA.jpg,http://detail.zol.com.cn//381/380232/param.shtml
3M,MFAC01-CN,100,,,,,,4.0,白色,,38.0,,,,,中国台湾,,,支持,,,,,,http://img11.360buyimg.com/n1/g16/M00/0C/01/rBEbRVOFOtUIAAAAAAC5KLX3X_MAACV7QPJAFkAALlA744.jpg,http://item.jd.com/1125186.html
3M,MFAC01-CN,,,,,,,4.9,白色,30,48,,46,103,,,,,,,,,,,http://2f.zol-img.com.cn/product/133_160x120/817/ce7LCN0QCdhlA.jpg,http://detail.zol.com.cn//381/380239/param.shtml
3M,MFAC01-CN,,,,420,170,365,3,白色,,,,48,103,,中国台湾,6.0,HEPA滤网,有,支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000012088/000000000120888328/fullimage/000000000120888328_1.jpg,http://product.suning.com/120888328.html
3M,MFAC01-CN,,,,420,170,65,5.7,白色,,,,46,,,台湾,12.0,HEPA滤网,有,支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010661/000000000106611059/fullimage/000000000106611059_1.jpg,http://product.suning.com/106611059.html
3M,MFAF400-2,,,,,,,1.5,,,,,,,,中国大陆,,,,,,,,,http://img10.360buyimg.com/n1/g16/M00/0C/07/rBEbRVOIOgsIAAAAAAGRPCJV4fMAACYjAAAAAAAAZFU864.jpg,http://item.jd.com/1145075.html
3M,RDH-Z80U,,,,,,,6.5,白色,,39.5,390.0,620.0,,,中国台湾,,,支持,,,,,,http://img12.360buyimg.com/n1/g16/M00/0B/1B/rBEbRVOCk_YIAAAAAACAGjzQ1wMAACTowE-iQUAAIAy611.jpg,http://item.jd.com/1125187.html
AAF,PurAir500FW,,,,540,400,195,9,白色,,,,220,320,,中国苏州,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010836/000000000108366849/fullimage/000000000108366849_1.jpg,http://product.suning.com/108366849.html
AAF,PurAir600FG,,,,540,400,195,9,金色,,,,55,320,,中国苏州,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010836/000000000108366680/fullimage/000000000108366680_1.jpg,http://product.suning.com/108366680.html
Airfree,P125,,,,,,,1.27,银色,,0.0,,50.0,,,葡萄牙,,,无需滤网,,true,,,,http://img12.360buyimg.com/n1/g10/M00/1D/02/rBEQWFNeDhEIAAAAAAGTCI8oqCgAAFsjAEH6k8AAZMg408.jpg,http://item.jd.com/1116892.html
Airfree,P150,,,,,,,1.48,黑色,,0.0,,52.0,,,葡萄牙,,,无需滤网,,true,,,,http://img10.360buyimg.com/n1/g13/M06/09/11/rBEhUlNeDgkIAAAAAAFJZgbwWxcAAMkzQMZUCkAAUl-436.jpg,http://item.jd.com/1086095.html
Airfree,P80,,,,,,,1.09,白色,,0.0,,48.0,,,葡萄牙,,,无需滤网,,true,,,,http://img13.360buyimg.com/n1/g10/M00/1D/02/rBEQWVNeDhcIAAAAAAEPqKZzJMsAAFsjAJsGacAAQ_A097.jpg,http://item.jd.com/1116898.html
Airvitamin,EUG-A1000,,,,290,303,108,2.84,白色,,,,6,0,,爱沙尼亚,12.0,无,无,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012028/000000000120283219/fullimage/000000000120283219_1.jpg,http://product.suning.com/120283219.html
Alen,A375,,,,,,,8.6,,38.0,64.0,,104.0,,,,,,,,,,,,http://img14.360buyimg.com/n1/g14/M03/02/17/rBEhV1NorIAIAAAAAAJX3JSd-TYAANG-gAYLUsAAlf0314.jpg,http://item.jd.com/983929.html
Alen,Paralda,,,,,,,6.8,,37.5,60.0,,,,,,,,,,,,,,http://img10.360buyimg.com/n1/g16/M00/00/02/rBEbRVNpjawIAAAAAAHXR86ZrE0AAABCQPZNdsAAddf002.jpg,http://item.jd.com/985320.html
Alen,T500,,,,,,,4.0,黑色,42.0,56.0,,,,,,,,支持,,,,,,http://img13.360buyimg.com/n1/g15/M06/1B/1C/rBEhWFNneT0IAAAAAAFhfVzvRrAAAM52wInR0kAAWGV089.jpg,http://item.jd.com/1029688.html
Alen,T500,,,,,,,4.0,香槟色,42.0,56.0,,,,,,,,支持,,,,,,http://img12.360buyimg.com/n1/g17/M00/00/02/rBEbR1NpjDUIAAAAAAFyIXuTUsAAAAA9AFzoS4AAXI5248.jpg,http://item.jd.com/1038842.html
Anyclean,ZA-11AC,,,,390,230,720,,,,,,30,,,中国,,,,,,,有,-1,http://image.suning.cn/content/catentries/00000000010596/000000000105964146/fullimage/000000000105964146_1.jpg,http://product.suning.com/105964146.html
Anyclean,ZA-12AC,,,,380,240,610,,,,,,37,,,中国,,,,,,,有,-1,http://image.suning.cn/content/catentries/00000000010596/000000000105962935/fullimage/000000000105962935_1.jpg,http://product.suning.com/105962935.html
Bain,BN-KJ8226,,,,400,174,467,5.9,白色,,,,39,,,江苏无锡,12.0,HEPA滤网,有,不支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010729/000000000107299063/fullimage/000000000107299063_1.jpg,http://product.suning.com/107299063.html
Bain,BN-KJ8848,,,,340,264,626,9.9,白色,,,,43,,,江苏无锡,12.0,HEPA滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010729/000000000107298797/fullimage/000000000107298797_1.jpg,http://product.suning.com/107298797.html
