image,brand,website,model,room_size,dust_cadr,pollen_cadr,tobacco_smoke_cadr,energy_star,meets_ozone_limits,voltage_frequency,dimensions,weight
http://www.ahamdir.com./place_holder.gif,Filtrete,http://www.3m.com/us/home_leisure/filtrete/,FAP01-RS,110 sq feet,86,97,72,No,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Filtrete,http://www.3m.com/us/home_leisure/filtrete/,FAP02-RS,160 sq feet,128,149,103,No,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Filtrete,http://www.3m.com/us/home_leisure/filtrete/,FAP03-RS,310 sq feet + WAS: 310,274,312,197  + WAS: 224,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Atmosphere Air Purifier,"",101076,390 sq feet,260,261,250,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Atmosphere Air Purifier,"",101076CH,390 sq feet,250,250,250,Yes,"",230 V 50 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Atmosphere Air Purifier,"",101076A,390 sq feet,250,250,250,Yes,"",230 V 50 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Atmosphere Air Purifier,"",101076TH,390 sq feet,250,250,250,Yes,"",230 V 50 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Atmosphere Air Purifier,"",101076HK,390 sq feet,250,250,250,Yes,"",230 V 50 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Atmosphere Air Purifier,"",101076J,390 sq feet,250,250,250,Yes,"",230 V 50 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Atmosphere Air Purifier,"",101076K,390 sq feet,250,250,250,Yes,"",230 V 50 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Atmosphere Air Purifier,"",101076M,390 sq feet,250,250,250,Yes,"",230 V 50 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Atmosphere Air Purifier,"",101076T,390 sq feet,250,250,250,Yes,"",230 V 50 Hz,"",""
http://www.ahamdir.com/aham_cm/dnl/PurePal_AG800.jpg?uuid=UploadedFile.133485&amp;rand=893,Airgle,http://www.airgle.com,PurePal AG800,698 sq feet,>   400,>   450,>   450,Yes,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com/aham_cm/dnl/PurePal_AG850.jpg?uuid=UploadedFile.281774&amp;rand=6514,Airgle,http://www.airgle.com,PurePal AG850,679 sq feet,>   400,>   450,438,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com/aham_cm/dnl/PurePal_AG900.jpg?uuid=UploadedFile.281775&amp;rand=8119,Airgle,http://www.airgle.com,PurePal AG900,617 sq feet,400,379,398,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com/aham_cm/dnl/PurePal_AG950.jpg?uuid=UploadedFile.281776&amp;rand=9616,Airgle,http://www.airgle.com,PurePal AG950,510 sq feet,340,320,329,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com/aham_cm/dnl/203.jpg?uuid=UploadedFile.283446&amp;rand=4737,Blueair,www.blueair.com,203,240 sq feet # WAS: 195,155  # WAS: 115,155  # WAS: 115,155  # WAS: 115,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com/aham_cm/dnl/403.jpg?uuid=UploadedFile.283453&amp;rand=93,Blueair,www.blueair.com,403,370 sq feet,240,240,240,Yes,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com/aham_cm/dnl/503.jpg?uuid=UploadedFile.283456&amp;rand=9167,Blueair,www.blueair.com,503,580 sq feet,375,375,375,Yes,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com/aham_cm/dnl/603.jpg?uuid=UploadedFile.283457&amp;rand=3431,Blueair,www.blueair.com,603,698 sq feet # WAS: 640,>   400,>   450,>   450  # WAS: 415,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Blueair,www.blueair.com,103,130 sq feet,103,101,82,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com/aham_cm/dnl/450E.jpg?uuid=UploadedFile.283454&amp;rand=1538,Blueair,www.blueair.com,450E,370 sq feet,240,240,240,Yes,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com/aham_cm/dnl/455EB.jpg?uuid=UploadedFile.283877&amp;rand=7871,Blueair,www.blueair.com,455EB,370 sq feet,240,240,240,No,"",115 V 60 Hz,"",""
http://www.ahamdir.com/aham_cm/dnl/555EB.jpg?uuid=UploadedFile.283455&amp;rand=7548,Blueair,www.blueair.com,555EB,605 sq feet,390,390,390,No,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com/aham_cm/dnl/650E.jpg?uuid=UploadedFile.283458&amp;rand=9993,Blueair,www.blueair.com,650E,698 sq feet,>   400,>   450,>   450,Yes,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com/aham_cm/dnl/ECO10.jpg?uuid=UploadedFile.283459&amp;rand=3726,Blueair,www.blueair.com,ECO10,220 sq feet  WAS: 298,195,200,140   WAS: 190,Yes,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com/aham_cm/dnl/270E.jpg?uuid=UploadedFile.283452&amp;rand=8924,Blueair,www.blueair.com,270E,240 sq feet # WAS: 195,155  # WAS: 115,155  # WAS: 115,155  # WAS: 115,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com/aham_cm/dnl/S1.jpg?uuid=UploadedFile.284778&amp;rand=2808,Blueair,www.blueair.com,S1,150 sq feet,100,100,100,Yes,Yes,120 V 60 Hz,"",""
