品牌,型号,CADR 灰尘(m3/h),CADR 花粉,CADR 烟雾,高度(mm),宽度(mm),深度(mm),重量(kg),最小噪音(dB),最大噪音(dB),最小功率(W),最大功率(W),最大风量,材料,原产地,滤网寿命,风档,图片,数据来源
Blueair,Sense,170,170,170,493,470,170,10.0,27,48,7,33,180,,,6,3,http://blueair.cn/Assets/home/products/ap_model_sense.png,http://blueair.cn/Products/AirPurifiers/APSenseModel
Blueair,603,,,,660,500,340,16.0,28,58,16,90,830,,,6,4,http://blueair.cn/Assets/home/products/ap_model_603.png,http://blueair.cn/Products/AirPurifiers/AP600Model
Blueair,503,638,638,638,660,500,340,16.0,27,57,16,90,735,,,6,4,http://blueair.cn/Assets/home/products/ap_model_503.png,http://blueair.cn/Products/AirPurifiers/AP500Model
Blueair,550E,663,663,663,660,500,340,16.0,27,57,23,95,765,,,6,,http://blueair.cn/Assets/home/products/ap_model_550e.png,http://blueair.cn/Products/AirPurifiers/AP500Model
Blueair,403,408,408,408,590,500,275,15.5,24,49,10,70,500,,,6,4,http://blueair.cn/Assets/home/products/ap_model_403.png,http://blueair.cn/Products/AirPurifiers/AP400Model
Blueair,450E,408,408,408,590,500,275,15.5,24,49,17,95,500,,,6,4,http://blueair.cn/Assets/home/products/ap_model_450e.png,http://blueair.cn/Products/AirPurifiers/AP400Model
Blueair,303,264,264,264,635,440,250,12.5,23,48,13,80,300,,,6,3,http://blueair.cn/Assets/home/products/ap_model_303.png,http://blueair.cn/Products/AirPurifiers/AP300Model
Blueair,203,264,264,264,533,432,241,11.0,23,48,13,80,300,,,6,3,http://blueair.cn/Assets/home/products/ap_model_203.png,http://blueair.cn/Products/AirPurifiers/AP200Model
Blueair,270E,264,264,264,533,432,241,11.0,23,48,13,80,300,,,6,,http://blueair.cn/Assets/home/products/ap_model_270e.png,http://blueair.cn/Products/AirPurifiers/AP200Model
Daikin,MC71NV2C,421,,,620,395,230,9.5,32,65,7,55,426,,,-1,5,,http://www.daikin-china.com.cn/cj/streamer-h/
Daikin,MC70KMV2,336,,,576,395,230,8.5,31,60,7,42,420,,,-1,5,,http://www.daikin-china.com.cn/cj/streamer/
Daikin,MCK57LMV2,270,,,590,395,268,11.0,,,12,37,342,,,-1,15,,http://www.daikin-china.com.cn/cj/streamer-w/
Daikin,,710,,,1055,420,355,30.0,45,65,18,100,720,,,-1,3,,http://www.daikin-china.com.cn/cj/streamer-c/
Electrolux,EAC003,193.5,,,470,350,231,5.1,,,,,-1,,,-1,-1,http://www.electrolux.com.cn/Additions/ImageResize/ImageExternal.aspx?src=http%3a%2f%2fwww.electrolux.im%2fproducts%2fXMLLARGERIMAGE%2fEAC003_700x700_CN.png&width=700&height=700&interpolation=HighQualityBicubic&forcejpeg=true,http://www.electrolux.com.cn/Products/%e5%b1%85%e5%ae%a4/%e7%a9%ba%e6%b0%94%e5%87%80%e5%8c%96%e5%99%a8/EAC003
Electrolux,EAC203,158.0,,,470,350,231,5.0,,,,,-1,,,-1,-1,http://www.electrolux.com.cn/Additions/ImageResize/ImageExternal.aspx?src=http%3a%2f%2fwww.electrolux.im%2fproducts%2fXMLLARGERIMAGE%2fEAC203-L.png&width=700&height=700&interpolation=HighQualityBicubic&forcejpeg=true,http://www.electrolux.com.cn/Products/%e5%b1%85%e5%ae%a4/%e7%a9%ba%e6%b0%94%e5%87%80%e5%8c%96%e5%99%a8/EAC203
Electrolux,EAC303,222.0,,,550,414,265,6.1,,,,,-1,,,-1,-1,http://www.electrolux.com.cn/Additions/ImageResize/ImageExternal.aspx?src=http%3a%2f%2fwww.electrolux.im%2fproducts%2fXMLLARGERIMAGE%2fEAC303-L.png&width=700&height=700&interpolation=HighQualityBicubic&forcejpeg=true,http://www.electrolux.com.cn/Products/%e5%b1%85%e5%ae%a4/%e7%a9%ba%e6%b0%94%e5%87%80%e5%8c%96%e5%99%a8/EAC303
Electrolux,EAC403,579.0,,,650,480,299,8.5,,,,,-1,,,-1,-1,http://www.electrolux.com.cn/Additions/ImageResize/ImageExternal.aspx?src=http%3a%2f%2fwww.electrolux.im%2fproducts%2fXMLLARGERIMAGE%2fEAC403-L.png&width=700&height=700&interpolation=HighQualityBicubic&forcejpeg=true,http://www.electrolux.com.cn/Products/%e5%b1%85%e5%ae%a4/%e7%a9%ba%e6%b0%94%e5%87%80%e5%8c%96%e5%99%a8/EAC403
Electrolux,Z9124,,,,550,420,210,7.2,,,,,-1,,,-1,-1,http://www.electrolux.com.cn/Additions/ImageResize/ImageExternal.aspx?src=http%3a%2f%2fwww.electrolux.im%2fproducts%2fXMLLARGERIMAGE%2fZ9124-L.png&width=700&height=700&interpolation=HighQualityBicubic&forcejpeg=true,http://www.electrolux.com.cn/Products/%e5%b1%85%e5%ae%a4/%e7%a9%ba%e6%b0%94%e5%87%80%e5%8c%96%e5%99%a8/Z9124
Electrolux,Z9123,,,,550,420,210,7.2,,,,,-1,,,-1,-1,http://www.electrolux.com.cn/Additions/ImageResize/ImageExternal.aspx?src=http%3a%2f%2fwww.electrolux.im%2fproducts%2fXMLLARGERIMAGE%2fZ9123-L-CN.png&width=700&height=700&interpolation=HighQualityBicubic&forcejpeg=true,http://www.electrolux.com.cn/Products/%e5%b1%85%e5%ae%a4/%e7%a9%ba%e6%b0%94%e5%87%80%e5%8c%96%e5%99%a8/Z9123
Electrolux,CN500AZ,,,,620,450,260,8.6,,,,,-1,,,-1,-1,http://www.electrolux.com.cn/Additions/ImageResize/ImageExternal.aspx?src=http%3a%2f%2fwww.electrolux.im%2fproducts%2fXMLLARGERIMAGE%2fCN500AZ-L.png&width=700&height=700&interpolation=HighQualityBicubic&forcejpeg=true,http://www.electrolux.com.cn/Products/%e5%b1%85%e5%ae%a4/%e7%a9%ba%e6%b0%94%e5%87%80%e5%8c%96%e5%99%a8/CN500AZ
Electrolux,EHF7000,,,,420,250,370,6.4,,,,,-1,,,-1,-1,http://www.electrolux.com.cn/Additions/ImageResize/ImageExternal.aspx?src=http%3a%2f%2fwww.electrolux.im%2fproducts%2fXMLLARGERIMAGE%2fEHF7000-L-CN.png&width=700&height=700&interpolation=HighQualityBicubic&forcejpeg=true,http://www.electrolux.com.cn/Products/%e5%b1%85%e5%ae%a4/%e7%a9%ba%e6%b0%94%e5%87%80%e5%8c%96%e5%99%a8/EHF7000
霍尼韦尔（Honeywell）,18250 ,229,,,440,480,310,7.2,20,50,0,95,-1,,,-1,,http://img12.360buyimg.com/n1/g16/M00/01/1C/rBEbRVNramgIAAAAAAU-n8Cm4hEAAAXlALFOlsABT63865.jpg,http://item.jd.com/505242.html
霍尼韦尔（Honeywell）,18000 ,221,,,350,385,270,5.32,20,50,0,80,-1,,,-1,,http://img11.360buyimg.com/n1/g13/M09/13/1E/rBEhUlJw-HAIAAAAAAJDDZE7HosAAEytQNBKeIAAkMl996.jpg,http://item.jd.com/505241.html
霍尼韦尔（Honeywell）,18400 ,374,,,440,480,360,7.48,20,50,0,95,-1,,,-1,,http://img13.360buyimg.com/n1/g13/M09/13/1E/rBEhU1Jw-H0IAAAAAAI4xL7qUlkAAEytgCqZlcAAjjc504.jpg,http://item.jd.com/505243.html
霍尼韦尔（Honeywell）,18450 ,331,,,440,480,360,7.48,20,50,0,95,-1,,,-1,,http://img14.360buyimg.com/n1/g16/M00/01/1C/rBEbRVNranUIAAAAAAaq9DkxrX8AAAXlQCrurgABqsM371.jpg,http://item.jd.com/505244.html
霍尼韦尔（Honeywell）,HHT-011APCN,,,,,,,2.44,,,0,35,-1,,,-1,,http://img14.360buyimg.com/n1/g10/M00/1E/15/rBEQWFNneNAIAAAAAAItdgqROXEAAGA5QP6JWIAAi2O825.jpg,http://item.jd.com/1029294.html
HealthPro,HealthPro 250,,,,710,410,380,,22,57,20,160,-1,,,-1,3,http://img11.360buyimg.com/n1/g17/M00/00/13/rBEbR1NqFlAIAAAAAAFUPGAJZBMAAAHjQKxqW0AAVRU540.jpg,http://item.jd.com/899256.html
HeathPro,GC MultiGas,,,,710,410,380,,22,57,20,160,-1,,,-1,3,http://img10.360buyimg.com/n1/g16/M00/00/13/rBEbRlNqFksIAAAAAAFz1QaZrCUAAAHjwDR6zoAAXPt515.jpg,http://item.jd.com/899255.html
HealthPro,HealthPro100,,,,610,380,410,,20,57,20,160,-1,,,-1,3,http://img13.360buyimg.com/n1/g16/M00/00/13/rBEbRVNqFkYIAAAAAAGHushNAksAAAHjwBUALMAAYfS380.jpg,http://item.jd.com/899253.html
,HealthPro 150,,,,610,410,380,,22,57,20,160,-1,,,-1,3,http://img11.360buyimg.com/n1/g17/M00/00/13/rBEbSFNqFkEIAAAAAAGIBRIfgEMAAAHjQD_Vv8AAYgd459.jpg,http://item.jd.com/899251.html
Philips,AC4001/00,176,,,350,212,368,3.94,,,,46,-1,,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4001_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4001_00/prd
Philips,AC4005/00,311,,,466,430,251,,,,,30,-1,,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4005_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4005_00/prd
Philips,AC4012/00,128,128,,343,198,520,7.25,34,54,,30,-1,ABS,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4012_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4012_00/prd
Philips,AC4014/00,237,237,,350,196,623,8.1,35,61,,30,-1,ABS,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4014_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4014_00/prd
Philips,AC4025/00,127,127,,333,186,510,6.1,36,54,,30,-1,ABS,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4025_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4025_00/prd
Philips,AC4030/00,,,,65,65,193,0.314,38,43,,,-1,ABS,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4030_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4030_00/prd
Philips,AC4030/10,,,,65,65,193,0.314,38,43,,,-1,ABS,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4030_10-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4030_10/prd
Philips,AC4072/00,320,320,,200,355,640,9.5,20,50,,47,-1,ABS,韩国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4072_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4072_00/prd
Philips,AC4090/00,360,360,,771,533,378,14.0,35,57,,50,-1,ABS塑料,韩国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4090_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4090_00/prd
Philips,AC4092/00,,,,455,295,685,11.0,,,,70,-1,ABS,韩国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4092_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4092_00/prd
Philips,AC4096/00,,,,455,295,685,12.0,,,,80,-1,ABS,韩国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4096_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4096_00/prd
Philips,AC4372/00,341,,,815,444,305,10.14,,38,,48,-1,ABS塑料,韩国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4372_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4372_00/prd
Philips,AC4374/00,345,,,,,,7.45,,35,,56,-1,ABS,韩国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4374_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4374_00/prd
Philips,ACP007/00,165,,,626,431,347,6.9,,,,40,-1,ABS塑料,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/ACP007_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-acp007_00/prd
Philips,ACP017/00,274,,,623,350,196,8.3,,,,30,-1,ABS塑料,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/ACP017_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-acp017_00/prd
Philips,ACP027/00,153,,,510,333,186,6.0,39,54,,30,-1,ABS塑料,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/ACP027_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-acp027_00/prd
Philips,ACP073/00,309,,,640,200,355,9.2,,,,47,-1,ABS塑料,韩国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/ACP073_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-acp073_00/prd
Philips,ACP077/00,302,,,645,354,194,10.3,,,,47,-1,ABS塑料,韩国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/ACP077_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-acp077_00/prd
Philips,ACP097/00,,,,455,295,685,12.0,,,,80,-1,ABS,韩国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/ACP097_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-acp097_00/prd
Philips,AC4080/00,167,,,,,,10.2,,36,,60,-1,ABS,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4080_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/combi-air-purifier-and-humidifier-ac4080_00/prd
Philips,AC4081/00,223,,,210,365,605,8.3,,36,,68,-1,ABS,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4081_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/combi-air-purifier-and-humidifier-ac4081_00/prd
Philips,AC4085/00,240,240,,390,243,586,12.1,33,54,,30,-1,ABS,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4085_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/combi-air-purifier-and-humidifier-ac4085_00/prd
Philips,ACP087/00,292,,,586,390,243,12.8,,,,50,-1,ABS塑料,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/ACP087_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/combi-air-purifier-and-humidifier-acp087_00/prd
Philips,AC4074/00,320,320,,200,355,640,9.5,20,50,,47,-1,ABS,韩国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4074_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/living-room-air-purifier-ac4074_00/prd
Philips,AC4006/00,150,150,,345,190,535,5.31,36,53,,40,-1,ABS,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4006_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/new-home-air-purifier-ac4006_00/prd
