品牌,型号,CADR 灰尘(m3/h),CADR 烟(m3/h),CADR 花粉(m3/h),颜色,最小功率(W),最大功率(W),最小噪音(dB),最大噪音(dB),高度(mm),宽度(mm),深度(mm),重量(kg),材料,产地,空气质量显示,滤网寿命,滤网更换提醒,支持遥控,支持定时,风档,最大风量,数据来源,,,,,
cado,AP-C700,400,450,450,不锈钢拉丝,25,170,30,58,714,423,297,18,,,,,,,TRUE,3,768,http://cadostore.com/view.asp?id=5,,,,,
cado,AP-C500 ,,,,"黑色,白色",25,155,30,58,714,423,297,17.5,,,,,,,TRUE,3,510,http://cadostore.com/view.asp?id=6,,,,,
cado,AP-C300 ,,,,"金色,白色",20,80,30,58,580,350,230,9.7,,,,,,,TRUE,3,360,http://cadostore.com/view.asp?id=7,,,,,
cado,AP-C100 ,,,,"黑色,银色,香槟色,粉红,粉蓝",5.3,30,30,61,308,242,242,3.5,,,,,,,TRUE,3,120,http://cadostore.com/view.asp?id=8,,,,,
Coway,AP-1013A,,,,,,45,,,505,455,170,6.4,,,,,,,TRUE,,306,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=0&prod_id=53,,,,,
Coway,APM-0812DH,,,,,,26,,,505,370,240,8,,,,,,,TRUE,,216,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=0&prod_id=50,,,,,
Coway,AP-1511FHE,234,227,256,,,72,,49,565,476,292,12,,,,,,,TRUE,,426,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=50&prod_id=49,,,,,
Coway,AP-1012GH,176,165,162,,,88,30,50.6,628,350,219,7.6,,,,,TRUE,,TRUE,3,336,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=50&prod_id=48,,,,,
Coway,APM-1510FH,237,219,271,,,90,,48,708,460,340,15,,,,,,,TRUE,4,,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=100&prod_id=46,,,,,
Coway,AP-2510EH,,,,,,90,,,390,980,186,11,,,,,,TRUE,TRUE,,,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=100&prod_id=45,,,,,
Coway,AP-0509DH,112,91,109,,,43,,,573,312,197,5,,,,,TRUE,,TRUE,3,,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=0&prod_id=36,,,,,
Coway,AP-1005AH,,,,,,47,,,510,544,181,8.8,,,,,,,TRUE,,348,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=50&prod_id=34,,,,,
Coway,AP-1009CH,182,155,203,,15,35,,,656,344,210,7,,,,,,,TRUE,3,,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=50&prod_id=33,,,,,
Coway,AP-3008FH,,,,,,106,,,956,660,420,25,,,,,,,TRUE,,,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=100&prod_id=3,,,,,
瑞士风,P355,275,,,,,57,,25,399,416,241,5.4,,嘉兴,TRUE,,TRUE,,TRUE,,,http://airoswiss.cn/ProductShow.asp?ClassID=3&ID=56,,,,,
瑞士风,P325,120,,,,,24,,25,360,292,201,4,,嘉兴,TRUE,,TRUE,,TRUE,,,http://airoswiss.cn/ProductShow.asp?ClassID=3&ID=54,,,,,
瑞士风,P380 ,306,,,,,86,44,54,472,559,241,7.7,,台湾,,,TRUE,,TRUE,3,,http://airoswiss.cn/ProductShow.asp?ClassID=3&ID=36,,,,,
瑞士风,P350 ,203,,,,,61,42,51,405,432,195,5,,台湾,,,TRUE,,TRUE,3,,http://airoswiss.cn/ProductShow.asp?ClassID=3&ID=35,,,,,
瑞士风,P320 ,103,,,,,52,41,50,366,308,188,3.7,,台湾,,,TRUE,,TRUE,3,,http://airoswiss.cn/ProductShow.asp?ClassID=3&ID=33,,,,,
瑞士风,AOS2061,,,,,20,42,26,43,600,460,330,7.7,,捷克,,,,,TRUE,3,220,http://airoswiss.cn/ProductShow.asp?ClassID=3&ID=9,,,,,
瑞士风,AOS2071,,,,,20,42,28,43,600,550,330,9.3,,捷克,,,,,TRUE,3,190,http://airoswiss.cn/ProductShow.asp?ClassID=3&ID=8,,,,,
TCL,TKJ-F330A,,,,陨石黑、香槟金,,65,,65,645,338,195,9.2,,,TRUE,,TRUE,TRUE,TRUE,4,330,http://shop.tcl.com/ProductDetail/index/id/5237.html#detail_main,,,,,
TCL,TKJ-F280B,,,,荷花白,,56,22,46,698,395,240,6.8,,,TRUE,,TRUE,TRUE,TRUE,3,280,http://shop.tcl.com/ProductDetail/index/id/3538.html#detail_main,,,,,
TCL,TKJ-F300B,,,,荷花白,,60,,45,645,338,195,9.2,,,TRUE,,TRUE,TRUE,TRUE,4,300,http://shop.tcl.com/ProductDetail/index/id/5337.html#detail_main,,,,,
TCL,TCL-360,330,,,白,,65,28,56,650,340,195,8.2,,,TRUE,,TRUE,TRUE,TRUE,4,,http://shop.tcl.com/ProductDetail/index/id/5840.html#detail_main,,,,,
TCL,TKJ-F270B,250,,,白,,52,28,52,655,454,297,毛7.7,,,TRUE,,TRUE,,TRUE,3,270,http://shop.tcl.com/ProductDetail/index/id/6297.html,,,,,
TCL,TKJ-F220B,,,,土豪金,,45,,35,525,322,180,5.5,,,TRUE,,TRUE,,TRUE,4,220,http://shop.tcl.com/ProductDetail/index/id/5298.html#detail_main,,,,,
