品牌,型号,CADR 灰尘(m3/h),AHAM认证,最小功率(W),最大功率(W),最小噪音(dB),最大噪音(dB),产地,重量(kg),最大风量,风档,睡眠模式,支持遥控,支持定时,空气质量显示,滤网更新提醒
3M,E99,"","","",200.0,"","",台湾,7.0,200,"",true,"",true,true,true
3M,FAP00,100,false,"","","","","",2.0,"","","","","","",""
3M,KJWEA200,"","","",48.0,"","",中国,2.0,206,"",true,"",true,true,true
3M,MFAF400-2,"","","","","","",中国,1.5,"","","","","","",""
3M,RDH-Z80U,"","",390.0,620.0,"",39.5,台湾,6.5,"",3,false,"",true,true,true
3M,SLIMAX,"","","","","",37.0,"",6.25,"","","","","","",""
Coway,AP-0509GH,"","","",15.0,"","","",4.8,"","","","","","",""
Coway,AP-0812DH,"","","",26.0,31.0,44.0,"",8.0,"",3,"","","","",""
Coway,AP-1207BH,"","","",45.0,"","","",11.0,6,"","","","","",""
Coway,COWAY空气净化器,"","","","","","",韩国,"","","","","","","",""
LG,HPS-A090BW,"","","",3.2,"","",韩国,0.53,"","","","","","",""
LG,PS-P809WF,"","","",90.0,"",53.0,韩国,16.0,"","",true,"",true,"",""
LG,PS-S209WC,"","","",18.0,"",43.0,韩国,7.2,"","",true,"","","",""
SKG,4211,"","","",13.0,15.0,30.0,"",2.0,"","","","","","",""
SKG,4220,"","","",60.0,25.0,40.0,"",5.0,"","","","","","",""
SKG,4240,"","","",25.0,"","",中国,7.5,"",3,"","",true,"",""
SKG,4249,"","","",3.0,"",40.0,"",0.5,"","","","","","",""
SKG,4878,"","","",58.0,"","",中国,6.8,"","",true,"",true,true,false
TCL,TKX-F500,"","","",45.0,"","",中国,12.5,"","",true,"",true,true,false
cado,AP-C300,203,true,"",10.0,"","",中国,9.7,"","",true,"",true,true,true
cado,AP-C500,392,true,"",155.0,"","",中国,17.5,"","",false,"",true,false,true
cado,AP-C700,400,true,"",16.0,"","","",18.0,830,"","","","","",""
三星,041,"","","",34.0,"","",韩国,7.0,"","",true,"",true,true,true
三星,AX-022FCVAUW/SC,179,false,"",10.8,"","",韩国,6.1,"",3,true,false,true,true,true
三星,SA600CB,"","",2.0,4.0,25.0,29.0,"","","","","","","","",""
三星,SA600CP,"","",2.0,4.0,25.0,29.0,"","","","","","","","",""
三星,三星丘比特AX022,"","","",15.0,"",51.0,韩国,6.1,192,"","",false,false,true,true
三菱重工,SPA-421AC,"","","",50.0,"","",中国,7.9,300,"",true,"",true,true,true
三菱重工,SPD-361AC,"","","",50.0,"","",中国,4.3,300,"",true,"",true,true,true
三菱重工,SPD-511AC,"","","",50.0,"","",中国,6.2,400,"",true,"",true,true,true
三菱重工,SPS-361AC,"","","",50.0,"","",中国,4.3,300,"",true,"",true,true,true
三菱重工,SPS-511AC,"","","",50.0,"","",中国,6.2,400,"",true,"",true,true,true
东芝,CAF-G50C,"","","","","","",泰国,6.3,"",4,"","",true,true,true
东芝,CAF-KP40X,"","","",40.0,"",49.0,"",9.4,"","","","","","",""
东芝,CAF-KP50X,"","","",47.0,"",52.0,"",10.6,"","","","","","",""
东芝,CAF-KR40X,"","","",40.0,"",49.0,中国,8.2,"",3,true,"","",true,""
东芝,CAF-KR50X,400,false,"","","",52.0,中国,10.6,"",3,true,"","",true,""
东芝,CAF-P35C,"","","","","",49.0,"",4.8,"","","","","","",""
东芝,CAF-P35CN,"","","","","",49.0,中国,4.8,"",3,true,"","",true,false
亚都,CQG200,"","","","","","","","","",3,"","","","",""
亚都,JF2901,"","","",53.0,"",44.0,"",10.3,"","","","","","",""
亚都,KJC1103,"","","",8.0,"","","",1.68,"","","","","","",""
亚都,KJF1800,"","","",25.0,"",55.0,"",8.5,"","","","","","",""
亚都,KJF1801N,"","","",20.0,"",55.0,"","",130,"","","","","",""
亚都,KJF1900,"","","",40.0,"",55.0,"",11.6,130,"","","","","",""
亚都,KJF2001A,"","","",45.0,"","","",4.0,"",3,"","","","",""
亚都,KJF2002A,"","","",45.0,"","","",4.0,"",3,"","","","",""
亚都,KJF2102A,"","","",55.0,"","","",5.0,"","","","","","",""
亚都,KJF2103T,"","","",40.0,"","",中国,7.0,"","",true,"",true,false,true
亚都,KJF2105T,"","","",40.0,"","",中国,8.5,"","",true,"",true,false,true
亚都,KJF3801,"","","",180.0,"",55.0,"",33.0,160,"","","","","",""
亚都,KJG101W,"","","",60.0,"","","",7.4,280,"","","","","",""
亚都,KJG1201,"","","",40.0,"","","",3.98,120,3,"","","","",""
