品牌,型号,受欢迎度,CADR 灰尘(m3/h),AHAM认证,最小功率(W),最大功率(W),最小噪音(dB),最大噪音(dB),产地,重量(kg),价格,最大风量,风档,睡眠模式,支持遥控,支持定时,空气质量显示,滤网更新提醒,耗材名称；耗材型号；价格,网址,净化器类型,评测
3M,FAP04,3.5,153,FALSE,,48,,,台湾,10,"3,247.7",153,3,TRUE,TRUE,TRUE,TRUE,TRUE,——,——,——,
3M,KJEA200,3.7,206,FALSE,,46,,38,台湾,4,"2,130.7",206,3,,FALSE,TRUE,,TRUE,——,——,——,
3M,KJEA400,3.5,468,FALSE,,48,,,中国,11,"3,598",,3,TRUE,FALSE,TRUE,TRUE,TRUE,——,——,——,
3M,MFAC00,2,100,FALSE,,8,,35,中国,1.5,,28,,,FALSE,,FALSE,FALSE,——,——,——,
3M,MFAC01,5.5,200,FALSE,46,46,30,38,台湾,4.9,"1,399",103,3,TRUE,FALSE,TRUE,FALSE,TRUE,——,——,——,
Coway,AP-0509DH,6.5,112,FALSE,,27,31,44,韩国,5,,,3,,,TRUE,,TRUE,"活性炭滤网；AP-0509DH；120
HEPA滤网；AP-0509DH；270","http://product.suning.com/105935028.html
http://product.suning.com/105934201.html",复合型（静电）,
Coway,AP-1005AH,5.5,168,TRUE,,47,22,49,韩国,8.8,,348,5,TRUE,,TRUE,TRUE,TRUE,"活性炭滤网；AP-1005AH；180
HEPA滤网；AP-1005AH；220
宠物定制滤网；AP-1005AH；240
抗过敏定制滤网；AP-1005AH；150
婴幼儿定制滤网；AP-1005AH；170
中置滤网；AP-1005AH；50","http://product.suning.com/122945375.html
http://product.suning.com/105946115.html
http://product.suning.com/105946591.html
http://product.suning.com/105945466.html
http://product.suning.com/105946383.html
http://product.suning.com/105943834.html",复合型（静电）,
Coway,AP-1009CH,7.5,182,FALSE,,26,22,49,韩国,7,"1,926.7",,3,FALSE,,TRUE,TRUE,TRUE,"活性炭滤网；AP-1009CH；170
HEPA滤网；AP-1009CH；510","http://product.suning.com/105935519.html
http://product.suning.com/105935684.html",复合型（静电）,
Coway,AP-1012GH,5.5,176,TRUE,,90,30,50.6,韩国,7.6,,336,3,TRUE,,TRUE,TRUE,TRUE,"活性炭滤网；AP-1012GH；——
HEPA滤网；AP-1012GH；——",——,复合型（静电）,
Coway,AP-1013A,6.7,,,,45,22,49,韩国,6.4,"3,580",306,3,,,TRUE,TRUE,,"定制滤网；AP-1013A；——
活性炭滤网；AP-1013A；——
HEPA滤网；AP-1013A；——",——,过滤型,
Coway,AP-1511FH,5.5,234,TRUE,,80,,49,韩国,12,,426,6,TRUE,,TRUE,TRUE,TRUE,"ANTI-FLU HEPA™ 滤网；AP-1511FH；——
活性炭滤网；AP-1511FH；——",——,复合型（离子）,
Coway,AP-2510EH,4.7,,,,90,,,,11,,,3,,TRUE,TRUE,,,"蜂胶复合过滤网；AP-2510EH；——
活性炭滤网；AP-2510EH；——
HEPA滤网；AP-2510EH；——",——,过滤型,
Coway,AP-3008FH,4.7,400,TRUE,,106,31.2,52.5,,25,,1008,5,,,TRUE,,,"无纺布滤网；AP-3008FH；70
定制滤网；AP-3008FH；240
活性炭滤网；AP-3008FH；544
HEPA滤网；AP-3008FH；——","http://product.suning.com/122945532.html
http://product.suning.com/122945486.html
http://product.suning.com/122945619.html",复合型（静电）,
Coway,APM-0812DH,6.8,,,,26,31,44,韩国,8,,216,3,TRUE,,TRUE,TRUE,TRUE,"天然抑菌滤网；APM-0812DH；80
活性炭滤网；APM-0812DH；218
HEPA滤网；APM-0812DH；180","http://product.suning.com/122945342.html
http://product.suning.com/123002282.html
http://product.suning.com/122945208.html",过滤型,
Coway,APM-1510FH,4.7,237,TRUE,,63,,48,,15,,7,4,,,TRUE,,,"新居定制滤网；APM-1510FH；150
老房定制滤网；APM-1510FH；150
活性炭滤网；APM-1510FH；340
HEPA滤网；APM-1510FH；440","http://product.suning.com/105998848.html
http://product.suning.com/105999081.html
http://product.suning.com/105937494.html
http://product.suning.com/105936098.html",——,
IQAir,HEALTHPRO 100,3.9,,,20,160,20,57,瑞士,12,"12,800",,6,TRUE,TRUE,TRUE,TRUE,TRUE,"过滤网；PreMax™ Filter；980
过滤网；HyperHEPA Filter；2380","http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-8155651445.17.35vZL9&id=40820406718&rn=d6507a67c42e1caecd8ea95ecc8da2ae
http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-8155651445.15.35vZL9&id=40822614596&rn=d6507a67c42e1caecd8ea95ecc8da2ae",过滤型,
IQAir,HEALTHPRO 150,2,,,20,160,22,57,瑞士,14,,,3,TRUE,TRUE,TRUE,TRUE,TRUE,"过滤网；PreMax™ MG Filter；1580
过滤网；HyperHEPA Filter；2380","http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-8155651445.23.35vZL9&id=40825818221&rn=d6507a67c42e1caecd8ea95ecc8da2ae
http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-8155651445.15.35vZL9&id=40822614596&rn=d6507a67c42e1caecd8ea95ecc8da2ae",过滤型,
IQAir,HEALTHPRO 250,4.7,,,20,160,22,57,瑞士,16,"14,980",1325,3,FALSE,TRUE,TRUE,TRUE,TRUE,"过滤网；PreMax™ MG Filter；980
过滤网；V5-Cell™ Filter；1580
过滤网；HyperHEPA Filter；2380","http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-8155651445.17.35vZL9&id=40820406718&rn=d6507a67c42e1caecd8ea95ecc8da2ae
http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-8155651445.25.35vZL9&id=40822142257&rn=d6507a67c42e1caecd8ea95ecc8da2ae
http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-8155651445.15.35vZL9&id=40822614596&rn=d6507a67c42e1caecd8ea95ecc8da2ae",过滤型,
